JSON_field,English,Sinhala,Devanagari,Russian,Bengali,Myanmar,Khmer,Laos,Gurumukhi,Gujarati,Telegu,Kannada,Malayalam,Tibetan,Thai
json_field,en,si,hi,ru,bn,my,km,lo,pa,gu,te,kn,ml,bo,th
App__Loading,Loading...,,चालू हो रहा है।,Загружается ...,,,,,,,,,,,
AppHeader__GiveFeedback,give feedback,ප්රතිචාර දක්වන්න,"प्रतिक्रिया दें
",дать обратную связь,মতামত দিন,တုံ့ပြန်ချက်ပေးပါ,ផ្ដល់​មតិ​យោបល់,ໃຫ້ ຄຳ ຄິດເຫັນ,ਫੀਡਬੈਕ ਦਿਓ,અભીપ્રાય આપો,అభిప్రాయం తెలియజేయండి,ಪ್ರತಿಕ್ರಿಯೆ ನೀಡಿ,ഫീഡ്‌ബാക്ക് നൽകുക,,ให้ข้อเสนอแนะ
AppHeader__GoHome,Go Home,,मुख पृष्ठ,На главную,,,,,,,,,,,
AppHeader__ToggleMode,Toggle light/dark theme,,थीम रंग बदलें गहरा/हल्का,Переключить светлую / темную тему,,,,,,,,,,,
InflectPage__AutoCompleteLabel,Pāli word,,पाळि वचन लिखें।,слово на Пали,,,,,,,,,,,
FromFunctions__LoadingDB,Loading db1...,,डेटाबेस लोड हो रहा है...,Загрузка базы данных...,,,,,,,,,,,
FromFunctions__NotFoundInflection,"Error generating inflection tables. It means, most likely, the word does not exist in the DPT dictionary. Please report this using the feedback button. Error details:",,त्रुटि ! विभक्ति सारणियां बनाने में असफल। इसका मतलब है सबसे अधिक संभावना है कि यह शब्द 'डीपीडी’ शब्दकोश में उपलब्ध नहीं है। कृपया प्रतिक्रिया बटन का उपयोग कर त्रुटियां व्यक्त करें। त्रुटियां का विवरण :-,"Ошибка создания таблиц склонений и спряжений. Значит, скорее всего, этого слова нет в словаре DPT. Сообщите об этом, используя кнопку обратной связи. Детали ошибки:",,,,,,,,,,,
HomePage__DPTinfo,Digital Pāli Tools: A Step-by-Step Process Towards Natural Language Processing of Pāli. Check out the,,Digital Pali Tools क्रमानुसार एक प्रक्रम वास्तविक पालि भाषा के प्रसंस्करण की ओर । अवलोकन करें:,Digital Pāli Tools: поэтапный  процесс обработки естественного языка Пали. Проверьте,,,,,,,,,,,
HomePage__VisionDocument,vision document,,अवलोकन संलेख,обзорный документ (англ.),,,,,,,,,,,
HomePage__DPRTitle,Digital Pāli Reader,,डिजिटल पालि पाठयपुस्तक (Digital Pāli Reader),Digital Pāli Reader,,,,,,,,,,,
HomePage__DPRDetails,"A tool facilitating immersive study of the Pāli language, canon and related scriptures.",,"एक उपकरण जिसमें पालि भाषा, धम्म-ग्रन्थ एवं सम्बधित धम्मलेखों व्यापक अध्ययन करने को मिलता है।","Инструмент способствующий глубокому изучению палийского языка, канона и связанных с ним писаний.",,,,,,,,,,,
HomePage__CountTitle,Count,,गणना,Подсчет,,,,,,,,,,,
HomePage__CountDetails,Count the length of pāli words.,,पाळि शब्दों के अक्षरों की गणना करें।,Подсчет длинны палийских слов.,,,,,,,,,,,
HomePage__PaliSortTitle,Pāli Sort,,पाळि वर्णमालाक्रम,Сортировка Пали,,,,,,,,,,,
HomePage__PaliSortDetails,Sort a list of pāli words.,,पाळि शब्दों को वर्णमाला क्रम के अनुसार करें।,Сортировка в алфавитном порядке списка палийских слов.,,,,,,,,,,,
HomePage__ConverterTitle,Converter,,परिवर्त्तक (कनर्वटर),Конвертер,,,,,,,,,,,
HomePage__ConverterDetails,Convert Pāli between various scripts.,,पालि को विभिन्न लिपियों में परिवर्तित करें।,Конвертер пали между различными алфавитами.,,,,,,,,,,,
HomePage__WordFreqTitle,Word frequency,,शब्दावृत्ति,Частота слов,,,,,,,,,,,
HomePage__WordFreqDetails,Examine hierarchical word frequency and compare inclusion and exclusion lists.,,"शब्दानुक्रमणिका के शब्दावृत्ति की जांच कर, समावेश तथा बहिष्करण तालिकाओं का तुलना करें।",Исследование частоты слов в каноне и сравнение списков включения и исключения.,,,,,,,,,,,
HomePage__InflectionsTitle,Inflections,,विभक्तियां,Изменение формы слова,,,,,,,,,,,
HomePage__InflectionsDetails,Show conjugations & declensions for Pāli words.,,पाळि शब्दों के क्रिया-रूप तथा विभक्ति-रूप देखें।,Спряжения и склонения палийских слов.,,,,,,,,,,,
WordFreq__DiffViewLabel,diff view,,विभेद,просмотр различий,,,,,,,,,,,
WordFreq__Words,words,,वचन,слов,,,,,,,,,,,
WordFreq__Word,Word,,वचन,Слово,,,,,,,,,,,
WordFreq__Frequency,Frequency,,आवृत्ति,Частота,,,,,,,,,,,
WordFreq__Max,Max,,अधिकतम अक्षर,Максимальная,,,,,,,,,,,
WordFreq__Length,Length,,अक्षरों की गणना,Длина,,,,,,,,,,,
WordFreq__WFSpace,,,अक्षर (लम्बाई),,,,,,,,,,,,
WordFreq__CombinedWordMsg,Combined word frequency not available yet. Please check the individual suttas for now.,,संयुक्त शब्दावृत्ति अब तक नहीं उपलब्ध है। कृपया एक-एक सुत्र के लिए खोजें।,"Частота слов нескольких частей канона пока недоступна. Пожалуйста, проверьте пока отдельные сутты.",,,,,,,,,,,
WordFreq__Inclusions,Inclusions,,समावेश,включения,,,,,,,,,,,
WordFreq__Exclusions,Exclusions,,बहिष्करणों,исключения,,,,,,,,,,,
WordFreq__Original,Original,,मूल,оригинал,,,,,,,,,,,
WordFreq__DownloadTooltip,Download Selected Nodes,,,,,,,,,,,,,,